Speaker,Sound,Word,set,burst,closure,vowel,phon_ctxt_stress,phon_pre_nasal,phon_post_nasal,syllable,Item.Word
E12,/d/,bad,1,0.103,0.031,0.254,yes,no,no,1,bad
E12,/d/,bad,2,0.111,0.039,0.258,yes,no,no,1,bad
E12,/d/,bad,3,0.051,0.04,0.234,yes,no,no,1,bad
E12,/d/,bed,1,0.082,0.045,0.169,yes,no,no,1,bed
E12,/d/,bed,2,0.065,0.044,0.192,yes,no,no,1,bed
E12,/d/,bed,3,0.055,0.058,0.171,yes,no,no,1,bed
E12,/d/,bud,1,0.095,0.055,0.2,yes,no,no,1,bud
E12,/d/,bud,2,0.083,0.066,0.185,yes,no,no,1,bud
E12,/d/,bud,3,0.143,0.055,0.191,yes,no,no,1,bud
E12,/t/,but,1,0.032,0.03,0.157,yes,no,no,1,but
E12,/t/,but,2,0.036,0.028,0.129,yes,no,no,1,but
E12,/d/,cooed,1,0.094,0.046,0.224,yes,no,no,1,cooed
E12,/d/,cooed,2,0.123,0.052,0.204,yes,no,no,1,cooed
E12,/d/,cooed,3,0.079,0.04,0.199,yes,no,no,1,cooed
E12,/d/,feed,1,0.077,0.04,0.205,yes,no,no,1,feed
E12,/d/,feed,2,0.113,0.05,0.225,yes,no,no,1,feed
E12,/d/,feed,3,0.083,0.041,0.205,yes,no,no,1,feed
E12,/t/,feet,1,0.142,0.063,0.139,yes,no,no,1,feet
E12,/t/,feet,2,0.149,0.061,0.147,yes,no,no,1,feet
E12,/t/,feet,3,0.092,0.055,0.121,yes,no,no,1,feet
E12,/d/,find,1,0.089,0.032,0.329,yes,yes,no,1,find
E12,/d/,find,2,0.085,0.039,0.334,yes,yes,no,1,find
E12,/d/,find,3,0.061,0.011,0.334,yes,yes,no,1,find
E12,/d/,fond,1,0.05,0.016,0.312,yes,yes,no,1,fond
E12,/d/,fond,2,0.049,0.016,0.32,yes,yes,no,1,fond
E12,/d/,fond,3,0.081,0.022,0.299,yes,yes,no,1,fond
E12,/d/,gild,1,0.101,0.05,0.246,yes,yes,no,1,gild
E12,/d/,gild,2,0.102,0.083,0.199,yes,yes,no,1,gild
E12,/d/,gild,3,0.1,0.058,0.203,yes,yes,no,1,gild
E12,/d/,god,1,0.078,0.037,0.25,yes,no,no,1,god
E12,/d/,god,2,0.092,0.041,0.259,yes,no,no,1,god
E12,/d/,god,3,0.1,0.048,0.235,yes,no,no,1,god
E12,/d/,good,1,0.072,0.044,0.193,yes,no,no,1,good
E12,/d/,good,2,0.066,0.043,0.18,yes,no,no,1,good
E12,/d/,good,3,0.061,0.049,0.189,yes,no,no,1,good
E12,/d/,killed,1,0.061,0.027,0.229,yes,yes,no,1,killed
